RESPONSE,ANNUAL_INCOME,SMART_BANKING,NUM_DEBITS_MTD,LOAN,LOAN_TO_VALUE_RATIO,MORTGAGE_AGE,OCC_PROF,AGE_PRIMARY,BUYING_POWER,OWN_CAR,USE_CREDIT_CARD,CONSUMER_FINANCING,EDUCATION_LEVEL,MEAN_PROPERTY_VALUE,SPENDABILITY_INDEX,PHIGH,PMASS,SAVINGS_ACCTN,TEASER_RATE,OWCUSTID,CLUSTERID
1,469,0,191,,0.5868,9,,15,9,N,Y,N,L,0,L,0,1,1,9.35,1000000000,1
1,,0,15.77,,0,29,19,4,,N,Y,N,M,0,M,0,0,0,3.99,1000000000,1
1,288,0,155.7,,0.5,4,11,9,,,Y,N,L,1,,1,0,1,9.35,1000000000,3
0,301,0,30.24,,,,,15,6,,Y,N,M,0,,0,0,0,9.35,1000000000,1
1,301,0,30.24,,,,,15,6,,Y,N,M,0,,0,0,0,3.99,1000000000,1
1,469,0,,,,,,15,9,N,Y,N,L,0,L,0,1,1,9.35,1000000000,1
1,301,0,103.7,,0.1004,12,,15,6,,Y,N,M,0,,0,0,0,3.99,1000000000,1
0,,0,,,,,,16,5,N,,N,M,0,M,,,,9.35,1000000000,3
1,480,1,0,,,,,16,8,N,Y,N,M,0,H,0,0,0,3.99,1000000000,1
1,480,1,-21.51,,0.0633,19,,16,8,N,Y,N,M,0,H,0,0,0,3.99,1000000000,1
1,675,0,,,0.5418,15,,14,7,N,,,M,0,,0,0,1,9.35,1000000000,1
1,675,0,78.4,,,,,14,7,N,,,M,0,,0,0,1,9.35,1000000000,1
1,1004,1,165.9,,0.7984,4,,20,3,N,Y,Y,H,0,H,0,0,1,10.1,1000000000,1
0,429,0,350.2,,,,,19,8,N,Y,N,M,0,H,1,0,1,2.99,1000000000,3
1,,0,,,,,,5,6,,Y,Y,M,0,,,,,9.35,1000000000,3
1,564,0,-186.7,,0.575,7,0,14,5,N,Y,N,M,0,M,0,0,1,3.99,1000000000,1
1,564,0,-224.7,,0.6556,6,0,14,5,N,Y,N,M,0,M,0,0,0,3.99,1000000000,1
1,,0,-374.7,,0.3243,25,,5,6,,Y,Y,M,0,,,,,9.35,1000000000,3
1,590,0,278.1,,0,10,10,5,,,Y,Y,M,0,,0,0,0,3.99,1000000000,1
0,374,0,-70.4,,0.2687,16,,17,3,,Y,N,H,0,H,0,0,0,2.99,1000000000,2
0,1026,1,180.5,,,,,,8,,,,M,0,,0,0,0,3.99,1000000000,1
0,1009,1,,,,,,11,4,N,Y,N,M,0,H,0,0,1,3.99,1000000000,1
0,360,0,,,0.58,3,,,,,,,,,,0,1,0,10.1,1000000000,1
0,360,0,,,0.58,3,,,,,,,,,,0,1,0,9.35,1000000000,1
0,349,0,-9.69,,,,0,13,8,N,Y,,M,0,,0,0,0,9.35,1000000000,1
0,,0,,,,,,14,5,N,,N,M,0,L,0,0,0,10.1,1000000000,1
0,,0,,,,,,,8,,,,M,0,,,,,9.35,1000000000,1
0,378,0,,,,,,25,8,N,Y,,M,0,,0,0,0,9.35,1000000000,1
0,378,0,,,,,,25,8,N,Y,,M,0,,0,0,0,3.99,1000000000,1
1,480,0,144.7,,0.6118,6,,9,8,N,Y,N,M,0,H,0,1,0,9.35,1000000000,1
0,569,0,46.38,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
0,349,0,,,,,0,13,8,N,Y,,M,0,,0,0,0,9.35,1000000000,1
0,349,0,,,,,0,13,8,N,Y,,M,0,,0,0,0,3.99,1000000000,1
1,455,0,128.9,,0.6333,7,0,8,5,N,Y,Y,M,0,H,0,1,1,10.1,1000000000,1
1,120,0,,,0.6061,7,,13,6,N,Y,Y,M,0,L,1,0,0,9.35,1000000000,3
0,569,0,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
0,569,0,,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
0,,0,-12.39,,,,,14,10,,Y,N,L,0,,,,,3.99,1000000000,1
0,,0,,,,,0,10,8,N,,N,M,0,L,0,0,0,3.99,1000000000,1
1,312,1,-141.9,,0,20,27,8,,N,Y,N,L,0,L,0,0,0,3.99,1000000000,1
1,480,0,,,,,,9,8,N,Y,N,M,0,H,0,1,0,9.35,1000000000,1
1,,0,137.5,,0.2571,6,0,19,8,N,Y,N,L,0,L,,,,9.35,1000000000,1
0,444,1,,,,,0,19,8,N,Y,,M,0,,0,0,1,2.99,1000000000,1
1,,0,,,0.45,9,,17,8,N,Y,,M,0,,,,,3.99,1000000000,1
1,264,1,,,,,0,15,7,N,Y,,M,0,,0,0,1,3.99,1000000000,1
0,1080,1,1.04,,0.3273,9,,15,8,N,Y,N,M,0,M,0,0,0,10.1,1000000000,1
0,1080,1,1.04,,0.3273,9,,15,8,N,Y,N,M,0,M,0,0,0,9.35,1000000000,1
1,384,0,,,,,,14,9,N,Y,Y,L,1,M,0,1,1,9.35,1000000000,1
0,522,0,,,,,0,18,6,N,Y,N,M,0,M,0,1,0,9.35,1000000000,1
